Symptoms,HealthFactors,Age Group,Severity,Predicted Disease
"insomnia, involuntary movements, tingling sensation","chronic liver disease, malnutrition, smoker",adult,moderate,Urinary Tract Infection
lightheadedness,,child,mild,Sinusitis
"irritability, blurred vision, difficulty sleeping, diarrhea, swelling in legs",chronic kidney disease,child,moderate,Malaria
"weight loss, fever, fainting, abdominal pain","smoker, radiation exposure",adult,mild,Diabetes Type 2
"nausea, painful urination","anemia, sleep apnea, malnutrition",teenager,mild,Migraine
"groin pain, facial drooping, persistent hiccups, loss of taste","anemia, high cholesterol",adult,mild,Chronic Kidney Disease
"joint pain, difficulty urinating, difficulty speaking","family history of cancer, thyroid disorder",child,severe,Glaucoma
"difficulty sleeping, tingling sensation",,adult,mild,Hypothyroidism
"weight loss, neck stiffness, swelling in legs, sore throat","smoker, malnutrition",adult,severe,Tetanus
"lump or swelling, heat intolerance",occupational hazard,teenager,mild,Gastroenteritis
"sore throat, weight loss",,senior,moderate,Tetanus
"hallucinations, insomnia, sore throat",autoimmune disorder,adult,moderate,Cerebral Palsy
"anxiety, mood swings, joint pain, skin discoloration","alcohol use, occupational hazard",teenager,moderate,Meningitis
"frequent belching, hiccups","hypertension, recent infection",teenager,moderate,Arthritis
"cold hands and feet, hoarseness, wheezing, leg cramps, diarrhea","mental health disorder, obesity, sleep apnea",senior,mild,Hepatitis B
"easy bruising, swelling in legs, insomnia, urinary incontinence","chronic liver disease, smoker, malnutrition",adult,severe,Gallstones
nausea,,senior,mild,Multiple Sclerosis
"weight loss, swelling in legs, neck stiffness","malnutrition, smoker",teenager,mild,Tetanus
"involuntary movements, weight loss, depression, hiccups",,senior,mild,Mumps
"frequent belching, swollen lymph nodes, difficulty swallowing, hiccups, persistent sneezing","recent infection, hypertension, thyroid disorder",child,mild,Arthritis
"hand tremors, joint pain, difficulty swallowing, difficulty speaking, unsteady gait, persistent hiccups","family history of heart disease, urban living",adult,moderate,Conjunctivitis
loss of taste,high cholesterol,senior,moderate,Chronic Kidney Disease
"lightheadedness, wheezing, low energy","family history of cancer, long-term medication use",teenager,moderate,Leukemia
"weight loss, depression, insomnia, loss of balance, nosebleeds","chronic kidney disease, vitamin D deficiency, hypertension",teenager,moderate,Hepatitis C
"dry eyes, headache, difficulty urinating","high cholesterol, night shift worker, hypertension",teenager,moderate,Crohn’s Disease
"hoarseness, chronic cough, weight loss",,adult,moderate,Down Syndrome
"memory loss, difficulty swallowing, vision loss, neck stiffness, constipation, fainting, loss of smell",mental health disorder,adult,mild,Anemia
"confusion, numbness, shortness of breath",,child,mild,Transient Ischemic Attack
"loss of appetite, loss of smell, muscle stiffness, swelling in legs","family history of cancer, vitamin D deficiency, COPD",teenager,mild,Anxiety Disorder
anxiety,rural living,adult,severe,Meningitis
difficulty swallowing,,child,mild,Alzheimer’s Disease
"nausea, urinary incontinence",HIV positive,teenager,mild,Multiple Sclerosis
"difficulty swallowing, hand tremors, joint pain, unsteady gait, persistent hiccups",,teenager,moderate,Conjunctivitis
"insomnia, change in voice",,senior,moderate,Gallstones
"confusion, craving for salt","family history of cancer, radiation exposure",adult,severe,Transient Ischemic Attack
memory loss,,adult,moderate,Congestive Heart Failure
"lightheadedness, increased thirst",,senior,mild,Parkinson’s Disease
"loss of balance, difficulty breathing at night, dry eyes",,adult,moderate,Dengue Fever
"facial drooping, loss of taste, persistent hiccups, groin pain","asthma, diabetes, high cholesterol, anemia",senior,moderate,Chronic Kidney Disease
"hallucinations, involuntary movements, nail changes",night shift worker,adult,mild,PCOS
"unsteady gait, leg cramps, loss of appetite",alcohol use,child,mild,Rheumatoid Arthritis
"easy bruising, groin pain, change in voice","malnutrition, smoker",senior,moderate,Gallstones
"neck stiffness, loss of smell, constipation",mental health disorder,adult,mild,Anemia
insomnia,,senior,moderate,Irritable Bowel Syndrome
"lightheadedness, tremors, cough, abdominal pain",,adult,mild,Sinusitis
"difficulty concentrating, tingling sensation",,teenager,mild,Urinary Tract Infection
"difficulty concentrating, fainting",recent infection,senior,severe,Typhoid
"skin discoloration, difficulty swallowing, difficulty urinating, unsteady gait, hallucinations, dry mouth",malnutrition,senior,severe,Alzheimer’s Disease
"confusion, abdominal pain",,adult,mild,Gastroenteritis
"muscle pain, palpitations, constipation, muscle stiffness","stress, night shift worker, occupational hazard",senior,mild,Arrhythmia
"hiccups, weight loss, involuntary movements",,teenager,severe,Mumps
"difficulty speaking, loss of balance, joint pain, dry eyes","pregnancy, allergies",senior,moderate,Dengue Fever
"heat intolerance, hiccups, involuntary movements",rural living,adult,severe,Pancreatitis
"palpitations, muscle stiffness, muscle pain, unsteady gait",,senior,severe,Arrhythmia
hoarseness,"mental health disorder, sleep apnea, obesity",adult,moderate,Hepatitis B
"palpitations, muscle pain, constipation, unsteady gait, muscle stiffness","night shift worker, occupational hazard, stress",adult,moderate,Arrhythmia
"ear pain, lump or swelling, abdominal pain, confusion, heat intolerance",,child,moderate,Gastroenteritis
"hiccups, swollen lymph nodes, frequent headaches, difficulty swallowing","recent infection, thyroid disorder, hypertension",teenager,severe,Arthritis
"change in voice, unsteady gait, cold hands and feet, muscle stiffness, increased thirst, leg cramps, loss of appetite",,adult,mild,Rheumatoid Arthritis
abdominal pain,low immunity,adult,moderate,Iron Deficiency
difficulty speaking,obesity,adult,moderate,Peptic Ulcer
heat intolerance,"recent surgery, diabetes",senior,severe,COVID-19
"persistent hiccups, lump or swelling, abdominal pain, heat intolerance, confusion","occupational hazard, HIV positive",adult,moderate,Gastroenteritis
"difficulty urinating, difficulty breathing at night, easy bruising, loss of balance",recent surgery,adult,mild,Crohn’s Disease
"sensitivity to light, lump or swelling, trouble walking, tingling sensation, lightheadedness","stress, allergies, chronic kidney disease, rural living",adult,mild,Breast Cancer
fever,"COPD, thyroid disorder",senior,moderate,Common Cold
heat intolerance,"low immunity, exposure to chemicals, chronic kidney disease",adult,mild,Kidney Stones
muscle pain,"occupational hazard, stress",adult,mild,Arrhythmia
"heat intolerance, irregular heartbeat, difficulty urinating, loss of taste, abdominal pain","family history of cancer, sedentary lifestyle",adult,mild,Lymphoma
"mood swings, unsteady gait, frequent infections","asthma, rural living, pregnancy",senior,mild,Addison’s Disease
"frequent headaches, persistent sneezing",hypertension,adult,severe,Autism Spectrum Disorder
"persistent sneezing, swollen lymph nodes, nail changes, double vision, heat intolerance, rash, night sweats","chronic kidney disease, low immunity",adult,moderate,Kidney Stones
"difficulty breathing at night, insomnia",,adult,mild,Cerebral Palsy
"involuntary movements, loss of balance, hiccups","rural living, asthma",senior,severe,Pancreatitis
"nausea, dry eyes","recent surgery, hypertension",adult,mild,Crohn’s Disease
"headache, dry eyes, difficulty breathing at night, loss of balance, difficulty urinating, nausea, easy bruising","recent surgery, night shift worker, high cholesterol, hypertension",adult,mild,Crohn’s Disease
"cough, drooling, fatigue, hand tremors","smoker, frequent travel",adult,mild,Insomnia
"dizziness, fever","COPD, thyroid disorder",adult,mild,Common Cold
persistent hiccups,exposure to chemicals,child,moderate,COPD
"hoarseness, lightheadedness",,senior,mild,Osteoporosis
neck stiffness,"malnutrition, smoker",adult,mild,Tetanus
"loss of balance, difficulty sleeping",vitamin D deficiency,adult,moderate,Hepatitis C
"painful urination, fever, irregular heartbeat, low energy, lightheadedness","hypertension, exposure to chemicals",adult,moderate,Tuberculosis
"abdominal pain, irregular heartbeat, loss of taste, difficulty urinating, heat intolerance",,adult,moderate,Lymphoma
"frequent belching, muscle stiffness","stress, chronic liver disease, mental health disorder, obesity",adult,mild,Asthma
"dry mouth, wheezing, frequent belching, yellowing of eyes, hair loss",pregnancy,teenager,mild,Epilepsy
difficulty breathing at night,"vitamin D deficiency, night shift worker, rural living",adult,mild,Influenza
"heat intolerance, loss of balance","asthma, rural living",adult,moderate,Pancreatitis
"urinary incontinence, easy bruising, swelling in legs, change in voice, drooling, groin pain","chronic liver disease, smoker",child,moderate,Gallstones
heat intolerance,,adult,moderate,Kidney Stones
"hearing loss, sensitivity to light","sleep apnea, COPD",teenager,moderate,Sleep Apnea
"insomnia, hallucinations, difficulty breathing at night",low immunity,adult,moderate,Cerebral Palsy
wheezing,"obesity, rural living, chronic kidney disease, chronic liver disease",adult,moderate,Bronchitis
"dizziness, insomnia, loss of balance, difficulty sleeping","family history of heart disease, hypertension, sleep apnea, occupational hazard",senior,mild,Colon Cancer
"difficulty urinating, loss of taste, abdominal pain, heat intolerance","family history of heart disease, family history of cancer",adult,moderate,Lymphoma
"palpitations, urinary incontinence, leg cramps, difficulty concentrating",smoker,adult,mild,Diabetes Type 1
"memory loss, difficulty breathing at night, shortness of breath",,adult,mild,Cirrhosis
"lump or swelling, trouble walking, tingling sensation",stress,senior,severe,Breast Cancer
"cold hands and feet, hoarseness, dry eyes",diabetes,adult,mild,Lung Cancer
vomiting,"high cholesterol, occupational hazard, frequent travel",senior,mild,Coronary Artery Disease
"difficulty swallowing, skin discoloration, chest pain, leg cramps",,adult,mild,Cataract
"nausea, difficulty urinating, headache","high cholesterol, recent surgery, hypertension",adult,moderate,Crohn’s Disease
"swelling in legs, neck stiffness, weight loss, sore throat",malnutrition,adult,mild,Tetanus
"blurred vision, diarrhea","radiation exposure, chronic kidney disease",adult,mild,Malaria
"drooling, hallucinations","frequent travel, exposure to chemicals, alcohol use, smoker",adult,severe,Insomnia
"neck stiffness, lightheadedness","thyroid disorder, diabetes",adult,severe,Osteoporosis
"nail changes, bleeding gums, dizziness","COPD, thyroid disorder, chronic liver disease",child,moderate,Common Cold
"chronic cough, tingling sensation, trouble walking, difficulty sleeping",,adult,mild,Hypothyroidism
"chest pain, back pain",,senior,moderate,Hyperthyroidism
"hand tremors, tremors","HIV positive, chronic liver disease",senior,moderate,Multiple Sclerosis
"tingling sensation, lightheadedness, lump or swelling","allergies, stress, chronic kidney disease, rural living",adult,mild,Breast Cancer
"hiccups, involuntary movements, loss of balance, heat intolerance",asthma,adult,mild,Pancreatitis
"slow healing, palpitations, chronic cough, joint pain",anemia,adult,moderate,Depression
"palpitations, muscle stiffness, unsteady gait",stress,senior,moderate,Arrhythmia
"abdominal pain, heat intolerance, irregular heartbeat, loss of taste",,senior,moderate,Lymphoma
yellowing of eyes,pregnancy,senior,mild,Epilepsy
"hiccups, loss of balance","asthma, rural living",adult,moderate,Pancreatitis
nail changes,"allergies, chronic kidney disease, frequent travel",child,moderate,Cataract
"confusion, lump or swelling","HIV positive, occupational hazard",teenager,mild,Gastroenteritis
hoarseness,,senior,moderate,Osteoporosis
"hand tremors, nosebleeds, hallucinations, fatigue",,adult,mild,Insomnia
neck stiffness,"long-term medication use, exposure to chemicals",child,moderate,Lupus
"wheezing, frequent belching, irregular heartbeat, yellowing of eyes, hair loss",,senior,severe,Epilepsy
"hoarseness, frequent headaches, depression",,senior,moderate,Autism Spectrum Disorder
"mood swings, frequent infections, voice tremor, difficulty swallowing, unsteady gait","asthma, rural living",adult,mild,Addison’s Disease
"unsteady gait, hallucinations, dry mouth, difficulty urinating, difficulty swallowing","alcohol use, malnutrition, occupational hazard",senior,moderate,Alzheimer’s Disease
"palpitations, numbness, loss of taste, hand tremors, persistent sneezing",asthma,teenager,mild,Tension Headache
