symptom,predictedDisease,healthFactor,ageGroup,severity,userPreference,conventionalMedicine,alternativeMedicine,conventionalMedicineRating,alternativeMedicineRating
muscle pain,Fibromyalgia,asthma,child,mild,no preference,Diclofenac,"Eucalyptus Oil, Massage Therapy",3.7,4.3
joint pain,Arthritis,diabetes,senior,moderate,pharmaceutical,Ibuprofen,"Devil’s Claw, Turmeric",4.5,3.0
cough,Common Cold,no known condition,senior,moderate,no preference,Dextromethorphan,"Honey & Ginger, Mulethi",4.4,4.0
fatigue,Chronic Fatigue Syndrome,asthma,child,severe,pharmaceutical,Vitamin B12,"Ashwagandha, Rhodiola",3.9,3.3
cough,Common Cold,asthma,adult,mild,herbal,Dextromethorphan,"Thyme Tea, Mulethi",4.2,4.9
fatigue,Chronic Fatigue Syndrome,asthma,child,mild,pharmaceutical,Vitamin B12,"Rhodiola, Ginseng",3.9,3.9
stomach pain,Gastritis,asthma,adult,moderate,pharmaceutical,Omeprazole,"Probiotics, Fennel Seeds",3.9,3.5
headache,Migraine,asthma,adult,moderate,pharmaceutical,Paracetamol,"Magnesium, Butterbur",4.8,4.7
nausea,Gastroenteritis,no known condition,child,mild,no preference,Ondansetron,"Peppermint Oil, Lemon Balm",3.9,4.2
sore throat,Strep Throat,allergies,senior,moderate,herbal,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",3.6,4.0
anxiety,Generalized Anxiety Disorder,diabetes,child,severe,pharmaceutical,Alprazolam,"L-Theanine, Chamomile",4.3,3.5
fever,Viral Infection,diabetes,child,mild,no preference,Ibuprofen,"Elderberry, Giloy",4.9,4.1
skin rash,Allergic Reaction,allergies,senior,mild,no preference,Antihistamine,"Oatmeal, Aloe Vera",4.3,4.0
anxiety,Generalized Anxiety Disorder,no known condition,child,mild,pharmaceutical,Alprazolam,"L-Theanine, Valerian Root",4.2,3.9
headache,Migraine,heart disease,adult,mild,herbal,Paracetamol,"Feverfew, Magnesium",5.0,3.5
fever,Viral Infection,diabetes,senior,moderate,no preference,Ibuprofen,"Tulsi Tea, Elderberry",3.6,4.5
shortness of breath,Asthma,hypertension,senior,moderate,pharmaceutical,Albuterol,"Deep Breathing, Yoga",4.1,3.8
headache,Migraine,allergies,adult,mild,herbal,Paracetamol,"Magnesium, Butterbur",4.7,3.5
cough,Common Cold,heart disease,adult,severe,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",3.9,4.0
fever,Viral Infection,asthma,senior,mild,herbal,Ibuprofen,"Tulsi Tea, Elderberry",4.9,5.0
cough,Common Cold,allergies,senior,severe,herbal,Dextromethorphan,"Mulethi, Thyme Tea",3.6,3.3
skin rash,Allergic Reaction,no known condition,adult,moderate,no preference,Antihistamine,"Oatmeal, Aloe Vera",3.6,4.2
stomach pain,Gastritis,asthma,child,moderate,herbal,Omeprazole,"Probiotics, Fennel Seeds",4.1,3.5
anxiety,Generalized Anxiety Disorder,obesity,senior,severe,pharmaceutical,Alprazolam,"Valerian Root, Chamomile",4.7,4.6
fever,Viral Infection,heart disease,child,mild,herbal,Ibuprofen,"Elderberry, Giloy",3.7,4.3
insomnia,Sleep Disorder,hypertension,child,severe,pharmaceutical,Melatonin,"Lavender Oil, Magnesium",4.2,3.7
skin rash,Allergic Reaction,diabetes,senior,severe,pharmaceutical,Antihistamine,"Oatmeal, Aloe Vera",4.4,4.6
cough,Common Cold,obesity,child,mild,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",4.4,4.4
sore throat,Strep Throat,no known condition,senior,mild,herbal,Throat Lozenges,"Slippery Elm, Saltwater Gargle",4.7,4.0
muscle pain,Fibromyalgia,diabetes,senior,moderate,herbal,Diclofenac,"Eucalyptus Oil, Arnica",3.9,3.5
dizziness,Vertigo,hypertension,adult,moderate,herbal,Meclizine,"Ginger, Bacopa",3.8,4.0
insomnia,Sleep Disorder,asthma,senior,severe,pharmaceutical,Melatonin,"Lavender Oil, Passionflower",4.3,3.6
muscle pain,Fibromyalgia,diabetes,senior,moderate,herbal,Diclofenac,"Arnica, Eucalyptus Oil",3.9,4.9
nausea,Gastroenteritis,no known condition,senior,moderate,no preference,Ondansetron,"Ginger, Lemon Balm",4.8,4.6
sore throat,Strep Throat,hypertension,child,severe,herbal,Throat Lozenges,"Saltwater Gargle, Licorice Root Tea",4.0,4.5
sore throat,Strep Throat,asthma,senior,severe,herbal,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",5.0,3.5
anxiety,Generalized Anxiety Disorder,diabetes,adult,mild,pharmaceutical,Alprazolam,"Valerian Root, Chamomile",4.2,3.5
joint pain,Arthritis,no known condition,child,moderate,no preference,Ibuprofen,"Turmeric, Boswellia",4.6,4.0
skin rash,Allergic Reaction,heart disease,child,mild,pharmaceutical,Antihistamine,"Aloe Vera, Oatmeal",3.5,3.2
fever,Viral Infection,no known condition,adult,severe,herbal,Ibuprofen,"Tulsi Tea, Elderberry",4.4,4.0
stomach pain,Gastritis,hypertension,adult,severe,pharmaceutical,Omeprazole,"Fennel Seeds, Chamomile",3.9,4.3
fatigue,Chronic Fatigue Syndrome,diabetes,adult,mild,herbal,Vitamin B12,"Ginseng, Rhodiola",5.0,4.8
nausea,Gastroenteritis,diabetes,child,moderate,no preference,Ondansetron,"Ginger, Peppermint Oil",4.5,3.9
stomach pain,Gastritis,diabetes,child,severe,pharmaceutical,Omeprazole,"Chamomile, Probiotics",4.4,3.8
headache,Migraine,diabetes,adult,severe,herbal,Paracetamol,"Butterbur, Magnesium",4.1,3.4
fever,Viral Infection,diabetes,child,severe,pharmaceutical,Ibuprofen,"Tulsi Tea, Elderberry",4.9,3.3
muscle pain,Fibromyalgia,no known condition,senior,moderate,herbal,Diclofenac,"Arnica, Massage Therapy",4.5,4.7
nausea,Gastroenteritis,no known condition,child,moderate,no preference,Ondansetron,"Peppermint Oil, Lemon Balm",3.7,3.3
muscle pain,Fibromyalgia,asthma,senior,moderate,no preference,Diclofenac,"Arnica, Eucalyptus Oil",3.7,3.8
cough,Common Cold,no known condition,adult,severe,herbal,Dextromethorphan,"Thyme Tea, Mulethi",4.4,3.2
joint pain,Arthritis,no known condition,child,severe,herbal,Ibuprofen,"Devil’s Claw, Turmeric",3.9,4.3
headache,Migraine,allergies,child,moderate,no preference,Paracetamol,"Magnesium, Feverfew",4.9,4.1
dizziness,Vertigo,obesity,child,severe,herbal,Meclizine,"Ginseng, Bacopa",4.9,4.5
headache,Migraine,diabetes,adult,mild,pharmaceutical,Paracetamol,"Magnesium, Butterbur",3.7,3.4
joint pain,Arthritis,no known condition,child,severe,pharmaceutical,Ibuprofen,"Turmeric, Devil’s Claw",3.9,5.0
fatigue,Chronic Fatigue Syndrome,diabetes,adult,moderate,herbal,Vitamin B12,"Rhodiola, Ashwagandha",4.0,4.2
stomach pain,Gastritis,heart disease,senior,moderate,no preference,Omeprazole,"Probiotics, Chamomile",3.8,4.6
cough,Common Cold,obesity,adult,mild,pharmaceutical,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.5,3.4
fever,Viral Infection,diabetes,adult,mild,herbal,Ibuprofen,"Tulsi Tea, Giloy",4.2,3.4
joint pain,Arthritis,asthma,adult,mild,no preference,Ibuprofen,"Devil’s Claw, Turmeric",4.2,3.2
joint pain,Arthritis,obesity,child,severe,pharmaceutical,Ibuprofen,"Boswellia, Turmeric",4.6,3.8
shortness of breath,Asthma,no known condition,adult,severe,herbal,Albuterol,"Quercetin, Deep Breathing",4.0,4.7
insomnia,Sleep Disorder,no known condition,senior,moderate,no preference,Melatonin,"Lavender Oil, Passionflower",4.6,3.7
dizziness,Vertigo,no known condition,child,severe,no preference,Meclizine,"Bacopa, Ginger",3.9,4.9
anxiety,Generalized Anxiety Disorder,allergies,senior,mild,no preference,Alprazolam,"Chamomile, Valerian Root",4.7,4.1
cough,Common Cold,diabetes,child,severe,herbal,Dextromethorphan,"Mulethi, Thyme Tea",4.1,4.6
joint pain,Arthritis,obesity,senior,mild,no preference,Ibuprofen,"Devil’s Claw, Turmeric",3.8,3.5
insomnia,Sleep Disorder,hypertension,child,severe,no preference,Melatonin,"Lavender Oil, Passionflower",4.4,3.1
shortness of breath,Asthma,obesity,senior,moderate,no preference,Albuterol,"Yoga, Deep Breathing",4.8,4.2
insomnia,Sleep Disorder,diabetes,senior,mild,herbal,Melatonin,"Magnesium, Lavender Oil",4.2,4.5
insomnia,Sleep Disorder,allergies,senior,severe,herbal,Melatonin,"Passionflower, Magnesium",4.8,4.1
muscle pain,Fibromyalgia,hypertension,senior,moderate,no preference,Diclofenac,"Massage Therapy, Eucalyptus Oil",3.7,4.4
anxiety,Generalized Anxiety Disorder,diabetes,senior,moderate,pharmaceutical,Alprazolam,"Chamomile, L-Theanine",4.4,4.0
headache,Migraine,hypertension,adult,moderate,herbal,Paracetamol,"Feverfew, Magnesium",3.5,4.6
shortness of breath,Asthma,asthma,senior,severe,herbal,Albuterol,"Deep Breathing, Quercetin",4.8,4.3
fever,Viral Infection,no known condition,senior,severe,no preference,Ibuprofen,"Giloy, Elderberry",4.2,4.1
joint pain,Arthritis,allergies,adult,moderate,herbal,Ibuprofen,"Devil’s Claw, Boswellia",3.7,4.5
sore throat,Strep Throat,allergies,senior,moderate,no preference,Throat Lozenges,"Slippery Elm, Saltwater Gargle",5.0,3.8
muscle pain,Fibromyalgia,allergies,child,mild,pharmaceutical,Diclofenac,"Massage Therapy, Arnica",3.6,4.5
shortness of breath,Asthma,asthma,child,mild,no preference,Albuterol,"Quercetin, Deep Breathing",3.9,4.4
cough,Common Cold,diabetes,senior,mild,pharmaceutical,Dextromethorphan,"Honey & Ginger, Mulethi",4.1,4.7
nausea,Gastroenteritis,heart disease,senior,severe,pharmaceutical,Ondansetron,"Ginger, Peppermint Oil",3.9,4.9
fatigue,Chronic Fatigue Syndrome,no known condition,child,moderate,no preference,Vitamin B12,"Ginseng, Ashwagandha",4.4,4.9
fatigue,Chronic Fatigue Syndrome,asthma,adult,mild,pharmaceutical,Vitamin B12,"Rhodiola, Ashwagandha",5.0,3.9
cough,Common Cold,allergies,senior,severe,pharmaceutical,Dextromethorphan,"Mulethi, Honey & Ginger",4.5,4.3
cough,Common Cold,heart disease,senior,mild,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",4.7,3.9
joint pain,Arthritis,asthma,senior,moderate,herbal,Ibuprofen,"Turmeric, Devil’s Claw",4.5,3.7
fever,Viral Infection,obesity,adult,mild,no preference,Ibuprofen,"Tulsi Tea, Giloy",4.7,3.9
joint pain,Arthritis,obesity,adult,severe,herbal,Ibuprofen,"Devil’s Claw, Turmeric",4.4,4.0
cough,Common Cold,obesity,senior,severe,herbal,Dextromethorphan,"Mulethi, Thyme Tea",3.8,3.7
muscle pain,Fibromyalgia,obesity,adult,mild,no preference,Diclofenac,"Arnica, Eucalyptus Oil",4.1,4.4
insomnia,Sleep Disorder,obesity,adult,moderate,herbal,Melatonin,"Magnesium, Lavender Oil",3.8,4.1
dizziness,Vertigo,hypertension,senior,moderate,herbal,Meclizine,"Ginseng, Bacopa",3.6,3.4
fever,Viral Infection,heart disease,child,moderate,herbal,Ibuprofen,"Tulsi Tea, Elderberry",4.5,4.1
stomach pain,Gastritis,no known condition,adult,moderate,pharmaceutical,Omeprazole,"Probiotics, Fennel Seeds",4.2,3.2
insomnia,Sleep Disorder,no known condition,senior,mild,pharmaceutical,Melatonin,"Passionflower, Magnesium",4.9,3.2
cough,Common Cold,hypertension,child,severe,pharmaceutical,Dextromethorphan,"Mulethi, Honey & Ginger",4.5,3.3
insomnia,Sleep Disorder,asthma,senior,mild,herbal,Melatonin,"Passionflower, Lavender Oil",4.0,3.5
muscle pain,Fibromyalgia,no known condition,senior,severe,herbal,Diclofenac,"Massage Therapy, Arnica",5.0,4.8
dizziness,Vertigo,heart disease,senior,mild,pharmaceutical,Meclizine,"Ginger, Bacopa",3.6,3.8
fatigue,Chronic Fatigue Syndrome,hypertension,adult,mild,herbal,Vitamin B12,"Rhodiola, Ashwagandha",4.4,3.0
sore throat,Strep Throat,heart disease,adult,mild,no preference,Throat Lozenges,"Saltwater Gargle, Slippery Elm",3.8,3.4
nausea,Gastroenteritis,allergies,child,mild,herbal,Ondansetron,"Peppermint Oil, Lemon Balm",4.5,4.0
joint pain,Arthritis,obesity,adult,moderate,herbal,Ibuprofen,"Devil’s Claw, Boswellia",3.6,3.1
sore throat,Strep Throat,heart disease,child,severe,pharmaceutical,Throat Lozenges,"Slippery Elm, Saltwater Gargle",4.8,3.2
dizziness,Vertigo,heart disease,adult,moderate,pharmaceutical,Meclizine,"Bacopa, Ginseng",4.3,4.2
joint pain,Arthritis,hypertension,child,mild,herbal,Ibuprofen,"Turmeric, Boswellia",3.6,3.3
shortness of breath,Asthma,obesity,child,mild,pharmaceutical,Albuterol,"Deep Breathing, Quercetin",3.7,3.7
stomach pain,Gastritis,no known condition,adult,moderate,pharmaceutical,Omeprazole,"Chamomile, Probiotics",4.4,3.7
insomnia,Sleep Disorder,allergies,child,severe,no preference,Melatonin,"Lavender Oil, Passionflower",4.4,4.1
muscle pain,Fibromyalgia,no known condition,child,mild,herbal,Diclofenac,"Massage Therapy, Arnica",3.8,4.2
dizziness,Vertigo,asthma,adult,moderate,herbal,Meclizine,"Ginseng, Bacopa",4.7,3.9
joint pain,Arthritis,heart disease,adult,moderate,herbal,Ibuprofen,"Turmeric, Boswellia",5.0,4.8
muscle pain,Fibromyalgia,hypertension,senior,moderate,pharmaceutical,Diclofenac,"Massage Therapy, Arnica",4.1,4.7
fever,Viral Infection,asthma,child,mild,herbal,Ibuprofen,"Elderberry, Giloy",3.7,4.6
joint pain,Arthritis,asthma,adult,moderate,herbal,Ibuprofen,"Boswellia, Turmeric",5.0,4.1
stomach pain,Gastritis,no known condition,child,moderate,herbal,Omeprazole,"Chamomile, Fennel Seeds",4.0,4.0
muscle pain,Fibromyalgia,asthma,senior,mild,no preference,Diclofenac,"Eucalyptus Oil, Arnica",3.7,3.4
fatigue,Chronic Fatigue Syndrome,allergies,senior,severe,no preference,Vitamin B12,"Ashwagandha, Rhodiola",3.7,3.6
joint pain,Arthritis,asthma,senior,mild,pharmaceutical,Ibuprofen,"Devil’s Claw, Turmeric",4.5,4.2
skin rash,Allergic Reaction,asthma,child,mild,herbal,Antihistamine,"Calendula, Aloe Vera",3.7,5.0
joint pain,Arthritis,heart disease,adult,mild,herbal,Ibuprofen,"Turmeric, Boswellia",3.6,4.9
fatigue,Chronic Fatigue Syndrome,heart disease,senior,severe,no preference,Vitamin B12,"Rhodiola, Ginseng",4.1,4.2
muscle pain,Fibromyalgia,heart disease,adult,severe,pharmaceutical,Diclofenac,"Massage Therapy, Arnica",5.0,3.2
muscle pain,Fibromyalgia,heart disease,senior,moderate,herbal,Diclofenac,"Eucalyptus Oil, Arnica",3.6,3.5
shortness of breath,Asthma,hypertension,child,mild,no preference,Albuterol,"Deep Breathing, Yoga",5.0,3.3
stomach pain,Gastritis,asthma,child,severe,herbal,Omeprazole,"Probiotics, Fennel Seeds",4.5,3.8
fever,Viral Infection,no known condition,child,mild,pharmaceutical,Ibuprofen,"Elderberry, Giloy",3.8,4.0
dizziness,Vertigo,allergies,senior,severe,pharmaceutical,Meclizine,"Ginger, Bacopa",4.0,4.9
anxiety,Generalized Anxiety Disorder,heart disease,child,severe,herbal,Alprazolam,"Valerian Root, L-Theanine",4.1,4.9
shortness of breath,Asthma,hypertension,senior,moderate,no preference,Albuterol,"Yoga, Quercetin",4.0,5.0
muscle pain,Fibromyalgia,hypertension,senior,moderate,no preference,Diclofenac,"Massage Therapy, Arnica",4.7,3.4
fatigue,Chronic Fatigue Syndrome,no known condition,child,mild,pharmaceutical,Vitamin B12,"Ashwagandha, Ginseng",4.6,4.5
shortness of breath,Asthma,obesity,adult,moderate,pharmaceutical,Albuterol,"Yoga, Deep Breathing",3.8,3.7
anxiety,Generalized Anxiety Disorder,heart disease,senior,mild,pharmaceutical,Alprazolam,"Chamomile, Valerian Root",4.4,4.0
sore throat,Strep Throat,heart disease,senior,mild,no preference,Throat Lozenges,"Licorice Root Tea, Saltwater Gargle",3.5,3.1
skin rash,Allergic Reaction,obesity,adult,moderate,herbal,Antihistamine,"Aloe Vera, Calendula",4.1,4.9
shortness of breath,Asthma,obesity,adult,moderate,no preference,Albuterol,"Quercetin, Yoga",4.9,3.9
skin rash,Allergic Reaction,hypertension,child,mild,pharmaceutical,Antihistamine,"Oatmeal, Calendula",3.8,3.3
fever,Viral Infection,obesity,adult,moderate,pharmaceutical,Ibuprofen,"Giloy, Elderberry",4.9,3.6
skin rash,Allergic Reaction,hypertension,senior,severe,herbal,Antihistamine,"Oatmeal, Calendula",4.4,4.8
sore throat,Strep Throat,allergies,senior,moderate,herbal,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.3,4.7
sore throat,Strep Throat,hypertension,child,mild,pharmaceutical,Throat Lozenges,"Saltwater Gargle, Slippery Elm",4.1,3.5
fever,Viral Infection,heart disease,senior,moderate,no preference,Ibuprofen,"Tulsi Tea, Giloy",3.8,3.1
headache,Migraine,heart disease,senior,severe,no preference,Paracetamol,"Butterbur, Feverfew",4.9,3.9
skin rash,Allergic Reaction,hypertension,senior,severe,no preference,Antihistamine,"Oatmeal, Calendula",4.6,4.6
shortness of breath,Asthma,diabetes,child,mild,no preference,Albuterol,"Yoga, Deep Breathing",4.3,3.7
skin rash,Allergic Reaction,asthma,child,moderate,pharmaceutical,Antihistamine,"Oatmeal, Calendula",4.1,3.9
muscle pain,Fibromyalgia,no known condition,senior,moderate,no preference,Diclofenac,"Eucalyptus Oil, Massage Therapy",4.3,4.4
muscle pain,Fibromyalgia,allergies,adult,severe,pharmaceutical,Diclofenac,"Eucalyptus Oil, Massage Therapy",3.8,4.7
nausea,Gastroenteritis,allergies,adult,mild,pharmaceutical,Ondansetron,"Ginger, Peppermint Oil",3.6,4.5
joint pain,Arthritis,obesity,child,severe,no preference,Ibuprofen,"Devil’s Claw, Turmeric",4.0,4.0
insomnia,Sleep Disorder,allergies,child,mild,pharmaceutical,Melatonin,"Passionflower, Magnesium",4.6,3.8
nausea,Gastroenteritis,obesity,adult,severe,herbal,Ondansetron,"Peppermint Oil, Ginger",4.9,3.3
dizziness,Vertigo,heart disease,child,mild,pharmaceutical,Meclizine,"Ginger, Bacopa",4.6,4.9
fatigue,Chronic Fatigue Syndrome,no known condition,senior,mild,herbal,Vitamin B12,"Rhodiola, Ginseng",4.6,3.3
fever,Viral Infection,no known condition,senior,mild,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.8,3.5
anxiety,Generalized Anxiety Disorder,obesity,adult,moderate,pharmaceutical,Alprazolam,"Valerian Root, Chamomile",4.0,4.9
fever,Viral Infection,hypertension,senior,moderate,pharmaceutical,Ibuprofen,"Tulsi Tea, Elderberry",4.8,4.7
dizziness,Vertigo,no known condition,child,moderate,herbal,Meclizine,"Ginseng, Ginger",4.2,3.3
sore throat,Strep Throat,hypertension,senior,moderate,pharmaceutical,Throat Lozenges,"Slippery Elm, Saltwater Gargle",3.9,4.3
dizziness,Vertigo,diabetes,senior,severe,herbal,Meclizine,"Ginseng, Bacopa",3.8,4.8
dizziness,Vertigo,diabetes,adult,mild,no preference,Meclizine,"Ginger, Ginseng",3.5,3.6
fatigue,Chronic Fatigue Syndrome,allergies,adult,severe,no preference,Vitamin B12,"Ginseng, Rhodiola",5.0,3.4
cough,Common Cold,asthma,child,mild,pharmaceutical,Dextromethorphan,"Thyme Tea, Honey & Ginger",4.6,3.2
nausea,Gastroenteritis,diabetes,child,moderate,no preference,Ondansetron,"Ginger, Lemon Balm",3.8,4.3
anxiety,Generalized Anxiety Disorder,asthma,child,severe,herbal,Alprazolam,"Valerian Root, Chamomile",4.8,3.1
cough,Common Cold,asthma,senior,mild,no preference,Dextromethorphan,"Honey & Ginger, Thyme Tea",4.7,3.2
cough,Common Cold,hypertension,child,mild,no preference,Dextromethorphan,"Mulethi, Honey & Ginger",4.9,3.2
muscle pain,Fibromyalgia,no known condition,adult,severe,herbal,Diclofenac,"Arnica, Massage Therapy",4.0,3.3
stomach pain,Gastritis,obesity,senior,severe,herbal,Omeprazole,"Probiotics, Fennel Seeds",3.9,4.2
joint pain,Arthritis,asthma,senior,moderate,pharmaceutical,Ibuprofen,"Turmeric, Boswellia",4.3,4.8
nausea,Gastroenteritis,no known condition,child,mild,no preference,Ondansetron,"Ginger, Peppermint Oil",3.6,3.2
dizziness,Vertigo,no known condition,child,severe,pharmaceutical,Meclizine,"Bacopa, Ginseng",4.5,3.1
stomach pain,Gastritis,diabetes,adult,moderate,no preference,Omeprazole,"Chamomile, Probiotics",3.6,4.2
dizziness,Vertigo,heart disease,senior,severe,pharmaceutical,Meclizine,"Ginseng, Bacopa",4.4,3.5
sore throat,Strep Throat,no known condition,senior,mild,no preference,Throat Lozenges,"Slippery Elm, Licorice Root Tea",4.3,3.2
fatigue,Chronic Fatigue Syndrome,asthma,child,moderate,pharmaceutical,Vitamin B12,"Ashwagandha, Rhodiola",4.6,3.8
muscle pain,Fibromyalgia,no known condition,child,moderate,pharmaceutical,Diclofenac,"Arnica, Massage Therapy",3.7,4.7
insomnia,Sleep Disorder,heart disease,adult,severe,no preference,Melatonin,"Passionflower, Magnesium",3.8,3.7
shortness of breath,Asthma,no known condition,adult,severe,pharmaceutical,Albuterol,"Deep Breathing, Quercetin",4.4,3.9
skin rash,Allergic Reaction,hypertension,senior,severe,herbal,Antihistamine,"Aloe Vera, Calendula",3.9,3.0
muscle pain,Fibromyalgia,diabetes,child,mild,herbal,Diclofenac,"Eucalyptus Oil, Arnica",3.7,3.1
fever,Viral Infection,diabetes,senior,severe,herbal,Ibuprofen,"Elderberry, Tulsi Tea",4.1,3.2
headache,Migraine,hypertension,adult,severe,pharmaceutical,Paracetamol,"Magnesium, Feverfew",4.8,4.4
dizziness,Vertigo,no known condition,child,moderate,no preference,Meclizine,"Ginger, Bacopa",4.0,4.6
dizziness,Vertigo,allergies,child,severe,herbal,Meclizine,"Ginseng, Ginger",4.4,3.3
anxiety,Generalized Anxiety Disorder,obesity,child,moderate,no preference,Alprazolam,"L-Theanine, Valerian Root",3.8,4.7
muscle pain,Fibromyalgia,heart disease,child,moderate,herbal,Diclofenac,"Arnica, Eucalyptus Oil",4.9,3.1
sore throat,Strep Throat,hypertension,adult,severe,pharmaceutical,Throat Lozenges,"Licorice Root Tea, Slippery Elm",4.7,3.6
muscle pain,Fibromyalgia,allergies,child,mild,no preference,Diclofenac,"Massage Therapy, Eucalyptus Oil",3.7,3.5
